,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,843,18,38,32,2,0,4,3,44,16
automobile,5,973,0,1,1,1,1,0,3,15
bird,44,2,759,91,16,44,19,19,5,1
cat,10,9,25,807,14,103,10,12,6,4
deer,8,4,78,120,728,18,8,30,6,0
dog,7,4,23,150,13,776,2,25,0,0
frog,8,9,51,102,5,18,807,0,0,0
horse,17,1,14,49,28,32,1,856,0,2
ship,37,19,7,11,1,1,2,2,916,4
truck,15,98,0,8,0,0,2,3,25,849
