experiment_group,test_accuracy,test_loss,macro_precision,macro_recall,macro_f1,best_val_accuracy
basic_aug,0.8314,0.5021113357067108,0.844585959061733,0.8314,0.834103603627341,0.8318
advanced_aug,0.814,0.586710758972168,0.8238251226748551,0.8140000000000001,0.8098923001392402,0.8104
stronger_aug,0.8138,0.5743838360786439,0.8173614726171365,0.8138,0.8108802256983605,0.8192
baseline,0.8004,0.607969498205185,0.8315779455373382,0.8004,0.8060623070522294,0.7952
