epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4520920014487373,0.4673111111111111,1.1927035181045533,0.5808
2,1.0139880157046848,0.6404888888888889,0.9779590885162354,0.6612
3,0.8504929202503628,0.7037333333333333,1.1025566393852233,0.6396
4,0.7371905693742964,0.7478444444444444,0.8206470468521118,0.7234
5,0.6582974717881944,0.7752222222222223,0.6402453573226928,0.778
6,0.6181111651526557,0.7906888888888889,0.923412038230896,0.7126
7,0.5654953783671062,0.8065777777777777,0.7297645587921142,0.758
8,0.5335510212421417,0.8176444444444444,0.5916810612678528,0.7968
9,0.5047552555031246,0.8305555555555556,0.543898100566864,0.8178
10,0.4813447460386488,0.8346,0.560683776473999,0.8192
