,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,724,7,60,55,4,3,10,5,63,69
automobile,4,839,4,4,0,4,0,1,13,131
bird,32,0,786,86,27,19,34,8,4,4
cat,6,2,50,847,9,54,17,3,4,8
deer,8,1,75,178,670,17,18,25,4,4
dog,1,1,44,231,10,687,5,18,2,1
frog,4,0,34,133,13,10,800,0,1,5
horse,5,2,24,122,15,24,2,786,3,17
ship,25,8,10,16,0,1,5,0,909,26
truck,2,15,4,12,0,0,1,0,10,956
