,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,815,9,48,3,27,1,9,25,42,21
automobile,8,931,3,2,0,6,6,7,4,33
bird,38,1,694,11,50,82,69,43,5,7
cat,8,1,35,462,62,286,49,77,5,15
deer,6,1,32,5,824,25,33,62,4,8
dog,1,1,26,28,37,825,5,75,1,1
frog,5,0,25,12,20,33,892,11,1,1
horse,2,0,5,5,27,24,1,931,0,5
ship,38,7,6,2,5,5,10,15,872,40
truck,18,51,6,4,1,2,3,11,10,894
