epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.5841066594865587,0.4475820116253131,1.3359469163894653,0.5086
2,1.2550108852810329,0.5923507835921079,0.9247291145324708,0.6818
3,1.1343221091800266,0.6446789643461708,1.0583169646263122,0.6646
4,1.047917015171051,0.6814571071547352,1.0001633668899537,0.6612
5,1.0360747446060181,0.6875458590857961,0.7410897529602051,0.7572
6,0.9763743937598335,0.710736398346768,0.7120075877189637,0.7676
7,0.9531552240159776,0.7190489723083815,0.6921733294486999,0.7722
8,0.8847751240306431,0.738987843815661,0.6739069811820984,0.7872
9,0.8422916042645773,0.7462284291480287,0.5989676794052124,0.8104
10,0.8092400177425808,0.7577958448881709,0.6164953765869141,0.805
